Metric,Value
Objective_Value,68.49
Total_Energy_Cost_USD,8.96
Total_CO2_Cost_USD,0.33
NC demand charge_USD,39.19
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,0.0
Total_Travel_Penalty_USD,20.0
Total_Grid_Energy_kWh,27.76
Total_CO2_Emissions_kg,6.63
NCD_Peak_kW,1.95
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.0
Total_MCS_Travel_hour,1.0
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,27.83
