src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.2
,0,0,0,0.0,36.84625564,Inf,Inf,0,0,3,774,0.2
R,0,0,0,0.0,46.13916318,1106.46888,95.83,680,27,9,1207,0.4
L,0,0,0,0.0,46.26083842,64.03556362,27.76,2693,89,74,2840,2.1
L,0,0,0,0.0,46.26097687,58.25280689,20.59,2709,95,74,4389,3.6
,0,0,0,0.0,46.26097687,58.25280689,20.59,15,0,0,9780,3.6
,0,0,0,0.0,46.26097687,58.25280689,20.59,15,14,3,10773,3.7
,20,1,1,0.0,46.26154773,58.25280689,20.58,183,20,150,65641,9.2
B,114,16,45,16.4,46.65753679,58.25280689,19.91,366,41,941,105046,12.6
T,114,8,45,16.5,46.65753679,57.50396754,18.86,367,41,941,105046,12.7
B,126,8,47,17.58,46.65753679,56.78162599,17.83,368,41,945,105451,12.7
,685,43,301,78.51,46.65753679,56.78162599,17.83,1839,43,3042,130023,17.7
,1104,0,0,0.0,54.88277406,56.78162599,3.34,13,0,0,154087,22.1
,1104,0,0,0.0,55.41219989,56.78162599,2.41,13,3,1,154279,22.2
L,1104,0,0,0.0,55.41219989,56.78162599,2.41,823,15,1,154608,23.1
,1211,0,47,100.0,56.78162599,56.78162599,0.0,1064,28,138,158231,23.4
