Metric,Value
Objective_Value,56.78
Total_Energy_Cost_USD,8.55
Total_CO2_Cost_USD,0.32
NC demand charge_USD,37.92
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,0.0
Total_Travel_Penalty_USD,10.0
Total_Grid_Energy_kWh,26.38
Total_CO2_Emissions_kg,6.35
NCD_Peak_kW,1.88
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.0
Total_MCS_Travel_hour,0.5
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,23.4
