var,e,i,a,k,value
u,1,2,1,1,1
u,1,2,1,2,1
u,1,2,1,3,1
u,1,2,1,4,1
u,1,2,1,7,1
u,1,2,1,8,1
u,1,2,1,9,1
u,1,2,1,11,1
u,1,2,1,13,1
u,1,2,1,16,1
u,1,2,1,25,1
u,1,2,1,26,1
u,1,2,2,28,1
u,1,2,2,30,1
u,1,2,2,31,1
u,1,2,2,32,1
u,1,2,2,35,1
u,1,2,2,36,1
u,1,2,3,6,1
u,1,2,3,12,1
u,1,2,3,27,1
u,1,2,3,33,1
u,2,3,1,1,1
u,2,3,1,2,1
u,2,3,1,3,1
u,2,3,1,4,1
u,2,3,1,8,1
u,2,3,1,9,1
u,2,3,1,10,1
u,2,3,1,11,1
u,2,3,1,14,1
u,2,3,1,15,1
u,2,3,1,16,1
u,2,3,1,28,1
u,2,3,2,25,1
u,2,3,2,29,1
u,2,3,2,30,1
u,2,3,2,31,1
u,2,3,2,35,1
u,2,3,2,36,1
u,2,3,3,6,1
u,2,3,3,13,1
u,2,3,3,26,1
u,2,3,3,33,1
mu,1,2,0,10,1
mu,1,2,0,14,1
mu,1,2,0,15,1
mu,1,2,0,17,1
mu,1,2,0,18,1
mu,1,2,0,19,1
mu,1,2,0,20,1
mu,1,2,0,45,1
mu,1,2,0,46,1
mu,1,2,0,47,1
mu,1,2,0,48,1
mu,1,2,0,49,1
mu,1,2,0,50,1
mu,1,2,0,51,1
mu,2,3,0,5,1
mu,2,3,0,7,1
mu,2,3,0,23,1
mu,2,3,0,24,1
mu,2,3,0,27,1
mu,2,3,0,32,1
mu,2,3,0,34,1
mu,2,3,0,37,1
mu,2,3,0,38,1
mu,2,3,0,39,1
mu,2,3,0,40,1
mu,2,3,0,41,1
mu,2,3,0,42,1
