Metric,Value
Objective_Value,159.97
Total_Energy_Cost_USD,17.67
Total_CO2_Cost_USD,0.75
NC demand charge_USD,101.55
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,0.0
Total_Travel_Penalty_USD,40.0
Total_Grid_Energy_kWh,55.52
Total_CO2_Emissions_kg,15.08
NCD_Peak_kW,5.05
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.0
Total_MCS_Travel_hour,2.0
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,327.22
