Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
70,01:15,01:30,-0.0,-0.0,-0.0,14.64494938219857,7.231522409952707
71,01:30,01:45,-0.0,-0.0,-0.0,14.64494938219857,7.231522409952707
72,01:45,02:00,7.8125,2.0390625,2.202083,16.68401188219857,9.433605409952708
73,02:00,02:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
74,02:15,02:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
75,02:30,02:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
76,02:45,03:00,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
77,03:00,03:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
78,03:15,03:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
79,03:30,03:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
80,03:45,04:00,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
81,04:00,04:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
82,04:15,04:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
83,04:30,04:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
84,04:45,05:00,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
85,05:00,05:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
86,05:15,05:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
87,05:30,05:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
88,05:45,06:00,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
89,06:00,06:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
90,06:15,06:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
91,06:30,06:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
92,06:45,07:00,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
93,07:00,07:15,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
94,07:15,07:30,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
95,07:30,07:45,-0.0,-0.0,-0.0,16.68401188219857,9.433605409952708
96,07:45,08:00,0.0,0.0,0.0,16.68401188219857,9.433605409952708
