src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,1.9
,0,0,0,0.0,906.6100592,Inf,Inf,0,0,4,2260,2.4
,0,0,0,0.0,1004.360748,Inf,Inf,2878,205,232,5061,7.6
L,0,0,0,0.0,1007.445314,7358.111111,86.31,4354,222,265,6332,22.7
,0,0,0,0.0,1007.445314,7358.111111,86.31,89,0,0,14049,23.2
,0,0,0,0.0,1007.445314,7358.111111,86.31,89,72,4,15953,24.0
,0,0,0,0.0,1007.467515,7358.111111,86.31,286,83,4,32467,44.7
,7,0,1,1.56,1007.467515,7358.111111,86.31,286,83,5,140068,110.2
,112,29,33,2.42,1007.679873,7358.111111,86.31,369,86,561,149438,117.3
,188,38,57,2.54,1007.679873,7358.111111,86.31,398,86,921,153750,122.4
,209,54,66,3.52,1007.679939,7358.111111,86.31,510,97,1074,162614,127.8
,260,74,75,3.96,1007.679939,7358.111111,86.31,878,114,1239,170990,133.3
,341,84,109,7.11,1007.679939,7358.111111,86.31,1621,126,1600,177630,139.6
,422,87,138,7.35,1007.679939,7358.111111,86.31,1663,126,2111,184139,144.7
,476,105,155,8.52,1007.679939,7358.111111,86.31,2163,132,2375,190485,149.7
,553,114,182,8.53,1007.679939,7358.111111,86.31,3418,178,2738,202289,157.6
,612,132,204,8.65,1007.679939,7358.111111,86.31,3442,178,2950,207738,162.7
,659,149,215,8.66,1007.679939,7358.111111,86.31,4492,181,3197,218896,171.3
,704,155,234,8.67,1007.679939,7358.111111,86.31,4514,181,3455,223937,176.3
,772,186,245,8.67,1007.679939,7358.111111,86.31,4669,158,3603,240814,186.0
,871,260,265,8.67,1007.679939,7358.111111,86.31,4693,158,3762,247617,192.0
,896,260,266,8.67,1007.679939,7358.111111,86.31,5319,178,3767,255462,197.9
,950,275,285,8.67,1007.679939,7358.111111,86.31,5337,178,4087,261727,202.9
,989,305,294,8.67,1007.679939,7358.111111,86.31,5320,212,4246,275521,213.5
,1058,323,315,8.68,1007.679939,7358.111111,86.31,5345,212,4560,280886,218.6
L,1075,163,318,8.73,1014.72084,5913.352201,82.84,5456,246,4612,282115,238.4
,1134,173,330,8.73,1014.72084,5913.352201,82.84,5466,246,4705,301761,243.5
,1187,198,349,8.73,1014.72084,5913.352201,82.84,5535,108,4920,307397,248.7
,1261,213,376,8.73,1014.72084,5913.352201,82.84,5568,108,5292,311838,253.8
,1306,230,390,8.74,1014.72084,5913.352201,82.84,6062,127,5593,317921,259.3
,1340,247,400,8.75,1014.72084,5913.352201,82.84,6814,210,5866,329566,267.7
,1402,271,419,8.77,1014.72084,5913.352201,82.84,6832,210,6110,337789,272.7
,1443,286,431,8.81,1014.72084,5913.352201,82.84,6903,237,6211,344852,277.9
,1512,296,459,8.96,1014.72084,5913.352201,82.84,6926,237,6552,353621,284.4
,1555,317,468,10.65,1014.72084,5913.352201,82.84,6934,245,6680,364037,289.8
,1634,323,500,10.65,1014.72084,5913.352201,82.84,6954,245,7031,369936,294.9
,1693,341,514,10.65,1014.72084,5913.352201,82.84,7366,158,7266,377939,299.9
,1757,381,531,10.65,1014.72084,5913.352201,82.84,7980,257,7517,386741,307.0
,1813,384,553,10.66,1014.72084,5913.352201,82.84,8005,257,7682,396832,312.8
,1852,391,570,10.88,1014.72084,5913.352201,82.84,8166,171,7823,408506,318.7
,1905,394,585,10.98,1014.72084,5913.352201,82.84,8185,171,8059,416546,323.8
,1975,427,602,10.98,1014.72084,5913.352201,82.84,6902,271,8397,455705,356.6
,2058,474,626,10.99,1016.134272,5913.352201,82.82,7285,317,8595,465843,364.2
,2131,477,653,11.01,1016.134272,5913.352201,82.82,7303,317,8950,472401,369.3
,2154,485,660,11.22,1016.134272,5913.352201,82.82,7043,278,9066,485103,377.5
,2185,487,667,11.36,1016.134272,5913.352201,82.82,7047,278,9145,495243,383.6
,2198,486,671,11.49,1016.134272,5913.352201,82.82,7338,242,9253,503516,389.4
,2227,486,683,11.49,1016.134272,5913.352201,82.82,7352,242,9355,512074,394.5
,2243,487,690,11.49,1016.134272,5913.352201,82.82,7358,242,9460,519574,399.7
,2256,487,694,11.51,1016.134272,5913.352201,82.82,7523,309,9529,527991,407.6
,2329,487,723,11.61,1016.134272,5913.352201,82.82,7540,309,9818,533289,412.8
,2353,501,733,11.66,1016.134272,5913.352201,82.82,6891,242,9925,539212,418.3
B,2410,385,749,11.71,1016.134272,5564.111111,81.74,6910,242,9557,542269,421.6
T,2450,382,769,11.71,1016.134272,5554.111111,81.7,6940,242,9662,543512,423.7
,2489,398,779,11.71,1016.134272,5554.111111,81.7,6952,340,9975,560205,439.7
,2578,422,814,11.72,1016.134272,5554.111111,81.7,6959,340,9530,565538,444.9
,2600,420,819,11.72,1016.134272,5554.111111,81.7,6817,112,9637,583538,457.7
,2642,421,838,11.73,1016.134272,5554.111111,81.7,6850,112,9980,588163,462.8
,2688,441,857,11.75,1016.134272,5554.111111,81.7,6865,112,9087,593675,468.1
,2700,436,862,11.91,1016.134272,5554.111111,81.7,7368,249,9138,607755,486.8
,2730,436,874,11.94,1016.134272,5554.111111,81.7,7380,249,9225,614995,491.8
,2782,436,897,11.94,1016.134272,5554.111111,81.7,7394,249,9396,622681,496.9
T,2876,459,935,11.94,1016.134272,5550.111111,81.69,7369,280,9716,628741,501.5
,2896,465,946,11.96,1016.134272,5550.111111,81.69,7300,285,9769,656279,518.9
T,2907,460,948,11.98,1016.134272,5534.111111,81.64,7301,285,9804,656449,519.1
,3009,465,994,12.0,1016.134272,5534.111111,81.64,7686,117,9165,675153,526.6
,3110,517,1020,12.0,1016.134272,5534.111111,81.64,7690,222,9387,686197,531.7
,3208,521,1057,12.02,1016.134272,5534.111111,81.64,7573,277,9906,700426,538.7
,3275,515,1086,14.55,1016.134272,5534.111111,81.64,8037,235,9525,721213,546.3
,3373,526,1125,14.68,1016.134272,5534.111111,81.64,7721,247,9934,741350,553.2
,3465,548,1157,14.68,1016.134272,5534.111111,81.64,8090,273,9416,755931,558.2
,3559,548,1196,14.7,1016.134272,5534.111111,81.64,8688,216,9802,767530,563.2
,3608,553,1210,14.72,1016.134272,5534.111111,81.64,8975,298,9967,782340,568.2
,3675,561,1238,14.74,1016.134272,5534.111111,81.64,9155,227,9561,795352,573.3
,3741,564,1258,14.86,1016.134272,5534.111111,81.64,9208,260,9772,809398,578.4
,3795,571,1280,14.91,1016.134272,5534.111111,81.64,9028,244,9924,820347,583.4
,3842,563,1299,15.3,1016.134272,5534.111111,81.64,9265,251,9330,837370,590.0
,3899,564,1320,15.3,1016.134272,5534.111111,81.64,9276,251,9596,847749,595.1
,3981,577,1357,15.7,1016.134272,5534.111111,81.64,8959,159,9978,861218,601.7
,4043,578,1379,15.7,1016.134272,5534.111111,81.64,8976,159,9392,876421,607.7
,4113,583,1412,15.75,1016.134272,5534.111111,81.64,9592,249,9715,887075,612.7
,4195,583,1445,15.75,1016.134272,5534.111111,81.64,9742,270,9403,927654,631.9
,4269,591,1473,15.75,1016.134272,5534.111111,81.64,9767,270,9632,933670,637.0
,4316,616,1497,15.75,1016.134272,5534.111111,81.64,9130,214,9854,943456,642.5
,4389,618,1529,15.75,1016.134272,5534.111111,81.64,8855,238,9409,956886,648.9
,4471,618,1559,15.76,1016.134272,5534.111111,81.64,8491,181,9616,968842,654.0
,4552,629,1587,15.76,1016.134272,5534.111111,81.64,8521,245,9867,981269,659.1
,4644,643,1622,15.78,1016.134272,5534.111111,81.64,8648,185,9625,996396,664.2
,4740,658,1659,15.84,1016.134272,5534.111111,81.64,9052,246,9862,1008000,669.2
,4810,664,1689,15.89,1016.134272,5534.111111,81.64,8917,244,9355,1021000,674.6
,4894,674,1715,16.0,1016.134272,5534.111111,81.64,9541,237,9638,1036000,679.9
,4951,682,1736,16.0,1016.134272,5534.111111,81.64,9966,274,9893,1072000,699.0
,5090,686,1793,16.0,1016.134272,5534.111111,81.64,9411,300,9700,1090000,704.1
,5190,697,1836,16.01,1016.134272,5534.111111,81.64,8937,201,9875,1130000,714.5
,5328,707,1887,16.01,1016.134272,5534.111111,81.64,9511,154,9406,1145000,719.6
,5411,0,0,0.0,1016.134272,5534.111111,81.64,149,0,0,1159000,723.4
,5411,0,0,0.0,1016.134272,5534.111111,81.64,149,29,1,1159000,723.5
,5411,0,0,0.0,1016.134272,5534.111111,81.64,4811,170,1,1163000,728.5
,5519,15,44,2.22,1016.134272,5534.111111,81.64,4578,122,756,1176000,733.6
,5659,23,109,2.28,1016.134272,5534.111111,81.64,4810,153,1280,1192000,738.7
,5786,28,162,6.4,1016.134272,5534.111111,81.64,5006,159,1933,1208000,743.8
,5823,37,178,6.51,1016.134272,5534.111111,81.64,6059,183,2200,1243000,752.6
,6014,62,256,7.56,1016.134272,5534.111111,81.64,6116,193,2862,1259000,757.7
,6069,74,274,7.64,1016.134272,5534.111111,81.64,7495,243,3289,1271000,763.4
