var,e,i,a,k,value
u,1,2,1,1,1
u,1,2,1,2,1
u,1,2,1,3,1
u,1,2,1,4,1
u,1,2,1,8,1
u,1,2,1,25,1
u,1,2,2,7,1
u,1,2,2,9,1
u,1,2,2,11,1
u,1,2,2,13,1
u,1,2,3,6,1
u,1,2,3,12,1
u,2,2,1,2,1
u,2,2,1,3,1
u,2,2,1,4,1
u,2,2,1,7,1
u,2,2,1,8,1
u,2,2,1,11,1
u,2,2,2,1,1
u,2,2,2,9,1
u,2,2,3,6,1
mu,1,2,0,14,1
mu,1,2,0,15,1
mu,1,2,0,16,1
mu,1,2,0,17,1
mu,1,2,0,18,1
mu,1,2,0,19,1
mu,1,2,0,20,1
mu,1,2,0,30,1
mu,2,2,0,14,1
mu,2,2,0,15,1
mu,2,2,0,16,1
mu,2,2,0,17,1
mu,2,2,0,18,1
mu,2,2,0,19,1
mu,2,2,0,20,1
