Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,08:00,250.0,250.0,50.0,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0,250.0,250.0,50.0
6,09:15,250.0,250.0,50.0,250.0,250.0,50.0
7,09:30,250.0,250.0,50.0,250.0,250.0,50.0
8,09:45,250.0,250.0,50.0,250.0,250.0,50.0
9,10:00,250.0,250.0,50.0,250.0,250.0,50.0
10,10:15,250.0,250.0,50.0,250.0,250.0,50.0
11,10:30,250.0,250.0,50.0,250.0,250.0,50.0
12,10:45,250.0,250.0,50.0,250.0,250.0,50.0
13,11:00,250.0,250.0,50.0,250.0,250.0,50.0
14,11:15,250.0,250.0,50.0,247.8947368421053,250.0,50.0
15,11:30,245.78947368421052,250.0,50.0,245.78947368421052,250.0,50.0
16,11:45,241.57894736842104,250.0,50.0,243.68421052631578,250.0,50.0
17,12:00,237.36842105263156,250.0,50.0,241.57894736842104,250.0,50.0
18,12:15,233.15789473684208,250.0,50.0,237.36842105263156,250.0,50.0
19,12:30,231.02216066481995,250.0,50.0,234.35180055401653,250.0,50.0
20,12:45,228.8864265927978,250.0,50.0,232.2465373961218,250.0,50.0
21,13:00,228.8864265927978,250.0,50.0,230.14127423822706,250.0,50.0
22,13:15,228.8864265927978,250.0,50.0,228.03601108033232,250.0,50.0
23,13:30,229.7260135985898,250.0,50.0,227.0415512465373,250.0,50.0
24,13:45,230.56560060438179,250.0,50.0,227.0415512465373,250.0,50.0
25,14:00,231.40518761017378,250.0,50.0,227.0415512465373,250.0,50.0
26,14:15,232.24477461596578,250.0,50.0,227.0415512465373,250.0,50.0
27,14:30,233.08436162175786,250.0,50.0,227.0415512465372,250.0,50.0
28,14:45,233.92394862754983,250.0,50.0,227.04155124653724,250.0,50.0
29,15:00,234.76353563334183,250.0,50.0,227.04155124653724,250.0,50.0
30,15:15,235.60312263913383,250.0,50.0,227.04155124653724,250.0,50.0
31,15:30,236.44270964492583,250.0,50.0,227.04155124653724,250.0,50.0
32,15:45,237.2822966507178,250.0,50.0,227.04155124653724,250.0,50.0
33,16:00,238.1218836565098,250.0,50.0,227.04155124653724,250.0,50.0
34,16:15,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
35,16:30,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
36,16:45,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
37,17:00,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
38,17:15,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
39,17:30,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
40,17:45,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
41,18:00,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
42,18:15,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
43,18:30,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
44,18:45,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
45,19:00,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
46,19:15,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
47,19:30,238.1218836565098,250.0,50.0,224.9362880886425,250.0,50.0
