Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,08:00,08:15,0.0,0.0,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0,0.0,0.0
5,09:00,09:15,0.0,0.0,0.0,0.0,0.0
6,09:15,09:30,0.0,0.0,0.0,0.0,0.0
7,09:30,09:45,0.0,0.0,0.0,0.0,0.0
8,09:45,10:00,0.0,0.0,0.0,0.0,0.0
9,10:00,10:15,0.0,0.0,0.0,0.0,0.0
10,10:15,10:30,0.0,0.0,0.0,0.0,0.0
11,10:30,10:45,0.0,0.0,0.0,0.0,0.0
12,10:45,11:00,0.0,0.0,0.0,0.0,0.0
13,11:00,11:15,0.0,0.0,0.0,0.0,0.0
14,11:15,11:30,0.0,0.0,0.0,0.0,0.0
15,11:30,11:45,0.0,0.0,0.0,0.0,0.0
16,11:45,12:00,0.0,0.0,0.0,0.0,0.0
17,12:00,12:15,0.0,0.0,0.0,0.0,0.0
18,12:15,12:30,0.0,0.0,0.0,0.0,0.0
19,12:30,12:45,0.0,0.0,0.0,0.0,0.0
20,12:45,13:00,0.0,0.0,0.0,0.0,0.0
21,13:00,13:15,0.0,0.0,0.0,0.0,0.0
22,13:15,13:30,0.88377579557052,0.23066548264390574,0.12107408295722968,0.23066548264390574,0.12107408295722968
23,13:30,13:45,0.88377579557052,0.23066548264390574,0.11526698044878025,0.4613309652878115,0.23634106340600994
24,13:45,14:00,0.88377579557052,0.23066548264390574,0.10979100486898462,0.6919964479317172,0.34613206827499454
25,14:00,14:15,0.88377579557052,0.3420212328857912,0.1066034164699336,1.0340176808175086,0.45273548474492814
26,14:15,14:30,0.88377579557052,0.3420212328857912,0.11152708520404538,1.3760389137032998,0.5642625699489735
27,14:30,14:45,0.88377579557052,0.3420212328857912,0.11196998856021975,1.718060146589091,0.6762325585091933
28,14:45,15:00,0.88377579557052,0.3420212328857912,0.10934901533698287,2.060081379474882,0.7855815738461761
29,15:00,15:15,0.88377579557052,0.3420212328857912,0.11091204971994355,2.4021026123606735,0.8964936235661196
30,15:15,15:30,0.88377579557052,0.3420212328857912,0.11704727697066922,2.744123845246465,1.0135409005367888
31,15:30,15:45,0.88377579557052,0.3420212328857912,0.11378196844437993,3.0861450781322564,1.1273228689811687
32,15:45,16:00,0.88377579557052,0.3420212328857912,0.11270578847168314,3.428166311018048,1.2400286574528518
33,16:00,16:15,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
34,16:15,16:30,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
35,16:30,16:45,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
36,16:45,17:00,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
37,17:00,17:15,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
38,17:15,17:30,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
39,17:30,17:45,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
40,17:45,18:00,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
41,18:00,18:15,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
42,18:15,18:30,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
43,18:30,18:45,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
44,18:45,19:00,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
45,19:00,19:15,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
46,19:15,19:30,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
47,19:30,19:45,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
48,19:45,20:00,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
49,20:00,20:15,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
50,20:15,20:30,0.0,0.0,0.0,3.428166311018048,1.2400286574528518
