Metric,Value
Objective_Value,1107.52
Total_Energy_Cost_USD,15.8
Total_CO2_Cost_USD,0.59
NC demand charge_USD,71.13
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,1000.0
Total_Travel_Penalty_USD,20.0
Total_Grid_Energy_kWh,48.61
Total_CO2_Emissions_kg,11.81
NCD_Peak_kW,3.54
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.5
Total_MCS_Travel_hour,1.0
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,1.57
