Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.769999999999962,-4.769999999999962,13.6075,12.415000000000012
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000012,11.22250000000001
4,4,08:45,09:00,09:00,-0.0,0.0,0,-0.0,250.0,250.0,0.0,0.0,1.0,-0.0,4.770000000000038,-4.770000000000038,11.22250000000001,10.030000000000001
5,5,09:00,09:15,09:15,-0.0,3.663157894736854,0,-3.663157894736854,250.0,249.0360110803324,0.0,0.0,1.0,3.663157894736854,0.0,3.663157894736854,10.030000000000001,10.900000000000004
6,6,09:15,09:30,09:30,-0.0,0.0,0,-0.0,249.0360110803324,249.0360110803324,0.0,0.0,1.0,0.0,4.72,-4.72,10.900000000000004,9.720000000000004
7,7,09:30,09:45,09:45,-0.0,0.0,0,-0.0,249.0360110803324,249.0360110803324,0.0,0.0,1.0,0.0,4.77,-4.77,9.720000000000004,8.527500000000003
8,8,09:45,10:00,10:00,-0.0,0.0,0,-0.0,249.0360110803324,249.0360110803324,0.0,0.0,1.0,0.0,4.77,-4.77,8.527500000000003,7.3350000000000035
9,9,10:00,10:15,10:15,-0.0,0.0,0,-0.0,249.0360110803324,249.0360110803324,0.0,0.0,1.0,0.0,4.7700000000000005,-4.7700000000000005,7.3350000000000035,6.142500000000004
10,10,10:15,10:30,10:30,-0.0,8.0,0,-8.0,249.0360110803324,246.93074792243766,0.0,0.0,1.0,8.0,0.0,8.0,6.142500000000004,8.042500000000004
11,11,10:30,10:45,10:45,-0.0,0.0,0,-0.0,246.93074792243766,246.93074792243766,0.0,0.0,1.0,-0.0,4.77,-4.77,8.042500000000004,6.850000000000004
12,12,10:45,11:00,11:00,-0.0,0.0,0,-0.0,246.93074792243766,246.93074792243766,0.0,0.0,1.0,0.0,4.72,-4.72,6.850000000000004,5.670000000000004
13,13,11:00,11:15,11:15,-0.0,0.0,0,-0.0,246.93074792243766,246.93074792243766,0.0,0.0,1.0,0.0,4.77,-4.77,5.670000000000004,4.4775000000000045
14,14,11:15,11:30,11:30,-0.0,0.0,0,-0.0,246.93074792243766,246.93074792243766,0.0,0.0,1.0,0.0,4.77,-4.77,4.4775000000000045,3.2850000000000046
