src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.1
R,0,0,0,0.0,41.07726707,82.18529859,50.02,0,0,0,335,0.1
L,0,0,0,0.0,50.46474646,62.25348135,18.94,922,41,0,1131,0.4
L,0,0,0,0.0,50.46474646,61.76781007,18.3,922,41,0,1339,1.2
,0,0,0,0.0,50.46474646,61.76781007,18.3,14,0,0,3713,1.2
,0,0,0,0.0,50.46474646,61.76781007,18.3,14,13,12,3823,1.3
L,0,0,0,0.0,50.99522262,61.76781007,17.44,1158,13,12,5802,3.2
B,19,1,9,96.09,52.49241182,61.28489594,14.35,1564,36,293,18384,4.2
,20,0,9,100.0,61.28489594,61.28489594,0.0,1565,36,293,18538,4.2
