Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0
6,09:15,245.78947368421055,250.0,50.0
7,09:30,245.78947368421055,250.0,50.0
8,09:45,245.78947368421055,250.0,50.0
9,10:00,245.78947368421055,250.0,50.0
10,10:15,245.78947368421055,250.0,50.0
11,10:30,241.57894736842107,250.0,50.0
12,10:45,241.57894736842107,250.0,50.0
13,11:00,241.9645429362881,250.0,50.0
14,11:15,242.35013850415515,250.0,50.0
15,11:30,242.73573407202218,250.0,50.0
16,11:45,243.1213296398892,250.0,50.0
17,12:00,243.50692520775624,250.0,50.0
18,12:15,243.8925207756233,250.0,50.0
19,12:30,244.27811634349032,250.0,50.0
20,12:45,244.66371191135735,250.0,50.0
21,13:00,245.04930747922438,250.0,50.0
22,13:15,245.4349030470914,250.0,50.0
23,13:30,245.82049861495844,250.0,50.0
24,13:45,246.20609418282547,250.0,50.0
25,14:00,246.5916897506925,250.0,50.0
26,14:15,246.97728531855952,250.0,50.0
27,14:30,247.36288088642655,250.0,50.0
28,14:45,247.74847645429358,250.0,50.0
29,15:00,248.1340720221606,250.0,50.0
30,15:15,248.51966759002764,250.0,50.0
31,15:30,248.90526315789467,250.0,50.0
32,15:45,249.2908587257617,250.0,50.0
33,16:00,249.6764542936288,250.0,50.0
34,16:15,249.6764542936288,250.0,50.0
35,16:30,245.46592797783933,250.0,50.0
36,16:45,241.25540166204985,250.0,50.0
37,17:00,237.04487534626037,250.0,50.0
38,17:15,234.46869806094182,250.0,50.0
39,17:30,233.0337950138504,250.0,50.0
40,17:45,233.0337950138504,250.0,50.0
41,18:00,233.0337950138504,250.0,50.0
42,18:15,233.0337950138504,250.0,50.0
43,18:30,233.0337950138504,250.0,50.0
44,18:45,233.0337950138504,250.0,50.0
45,19:00,233.0337950138504,250.0,50.0
46,19:15,233.0337950138504,250.0,50.0
47,19:30,233.0337950138504,250.0,50.0
48,19:45,233.0337950138504,250.0,50.0
49,20:00,233.0337950138504,250.0,50.0
50,20:15,233.0337950138504,250.0,50.0
51,20:30,233.0337950138504,250.0,50.0
52,20:45,233.0337950138504,250.0,50.0
53,21:00,233.0337950138504,250.0,50.0
54,21:15,233.41939058171744,250.0,50.0
55,21:30,233.80498614958447,250.0,50.0
56,21:45,234.1905817174515,250.0,50.0
57,22:00,234.57617728531852,250.0,50.0
58,22:15,234.96177285318555,250.0,50.0
59,22:30,235.34736842105258,250.0,50.0
60,22:45,235.7329639889196,250.0,50.0
61,23:00,236.11855955678664,250.0,50.0
62,23:15,236.50415512465366,250.0,50.0
63,23:30,236.8897506925207,250.0,50.0
64,23:45,237.27534626038772,250.0,50.0
65,00:00,237.66094182825475,250.0,50.0
66,00:15,238.04653739612178,250.0,50.0
67,00:30,238.4321329639888,250.0,50.0
68,00:45,238.81772853185583,250.0,50.0
69,01:00,239.20332409972286,250.0,50.0
70,01:15,239.5889196675899,250.0,50.0
71,01:30,239.97451523545692,250.0,50.0
72,01:45,240.36011080332395,250.0,50.0
73,02:00,240.74570637119098,250.0,50.0
74,02:15,241.131301939058,250.0,50.0
75,02:30,241.51689750692503,250.0,50.0
76,02:45,241.90249307479206,250.0,50.0
77,03:00,242.2880886426591,250.0,50.0
78,03:15,242.67368421052612,250.0,50.0
79,03:30,243.05927977839315,250.0,50.0
80,03:45,243.44487534626018,250.0,50.0
81,04:00,243.8304709141272,250.0,50.0
82,04:15,244.21606648199423,250.0,50.0
83,04:30,244.60166204986126,250.0,50.0
84,04:45,244.9872576177283,250.0,50.0
85,05:00,245.37285318559532,250.0,50.0
86,05:15,245.75844875346235,250.0,50.0
87,05:30,246.14404432132937,250.0,50.0
88,05:45,246.5296398891964,250.0,50.0
89,06:00,246.91523545706343,250.0,50.0
90,06:15,247.30083102493046,250.0,50.0
91,06:30,247.6864265927975,250.0,50.0
92,06:45,248.07202216066452,250.0,50.0
93,07:00,248.45761772853155,250.0,50.0
94,07:15,248.84321329639857,250.0,50.0
95,07:30,249.22880886426591,250.0,50.0
96,07:45,249.61440443213294,250.0,50.0
97,08:00,250.0,250.0,50.0
