Time_Period,Time_Start_Label,Time_End_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,08:00,08:15,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0
5,09:00,09:15,0.0,15.999999999999915,-15.999999999999915
6,09:15,09:30,-0.0,0.0,-0.0
7,09:30,09:45,-0.0,0.0,-0.0
8,09:45,10:00,-0.0,0.0,-0.0
9,10:00,10:15,-0.0,0.0,-0.0
10,10:15,10:30,-0.0,16.0,-16.0
11,10:30,10:45,-0.0,0.0,-0.0
12,10:45,11:00,1.6235602857559401,0.0,1.6235602857559401
13,11:00,11:15,1.6235602857559401,0.0,1.6235602857559401
14,11:15,11:30,1.6235602857559401,0.0,1.6235602857559401
15,11:30,11:45,1.6235602857559401,0.0,1.6235602857559401
16,11:45,12:00,1.6235602857559401,0.0,1.6235602857559401
17,12:00,12:15,1.6235602857559401,0.0,1.6235602857559401
18,12:15,12:30,1.6235602857559401,0.0,1.6235602857559401
19,12:30,12:45,1.6235602857559401,0.0,1.6235602857559401
20,12:45,13:00,1.6235602857559401,0.0,1.6235602857559401
21,13:00,13:15,1.6235602857559401,0.0,1.6235602857559401
22,13:15,13:30,1.6235602857559401,0.0,1.6235602857559401
23,13:30,13:45,1.6235602857559401,0.0,1.6235602857559401
24,13:45,14:00,1.6235602857559401,0.0,1.6235602857559401
25,14:00,14:15,1.6235602857559401,0.0,1.6235602857559401
26,14:15,14:30,1.6235602857559401,0.0,1.6235602857559401
27,14:30,14:45,1.6235602857559401,0.0,1.6235602857559401
28,14:45,15:00,1.6235602857559401,0.0,1.6235602857559401
29,15:00,15:15,1.6235602857559401,0.0,1.6235602857559401
30,15:15,15:30,1.6235602857559401,0.0,1.6235602857559401
31,15:30,15:45,1.623560285755946,0.0,1.623560285755946
32,15:45,16:00,1.6235602857559461,0.0,1.6235602857559461
33,16:00,16:15,-0.0,0.0,-0.0
34,16:15,16:30,-0.0,16.0,-16.0
35,16:30,16:45,-0.0,15.999999999999998,-15.999999999999998
36,16:45,17:00,-0.0,15.999999999999996,-15.999999999999996
37,17:00,17:15,-0.0,9.789473684210527,-9.789473684210527
38,17:15,17:30,-0.0,5.452631578947346,-5.452631578947346
39,17:30,17:45,-0.0,0.0,-0.0
40,17:45,18:00,-0.0,0.0,-0.0
41,18:00,18:15,-0.0,0.0,-0.0
42,18:15,18:30,-0.0,0.0,-0.0
