Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002,0.0,4.77,-4.77,14.8,13.607500000000002
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.607500000000002,12.415000000000003,0.0,3.18,-3.18,13.607500000000002,12.812500000000002
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.77,-4.77,12.415000000000003,11.222500000000004,0.0,4.77,-4.77,12.812500000000002,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.222500000000004,10.030000000000005,0.0,4.77,-4.77,11.620000000000001,10.427500000000002
5,5,09:00,09:15,09:15,0.0,8.0,0,-8.0,250.0,247.89473684210526,0.0,0.0,1.0,8.0,0.0,8.0,10.030000000000005,11.930000000000005,0.0,0.0,0.0,10.427500000000002,10.427500000000002
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,4.72,-4.72,11.930000000000005,10.750000000000005,0.0,4.72,-4.72,10.427500000000002,9.247500000000002
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,10.750000000000005,9.557500000000005,0.0,4.77,-4.77,9.247500000000002,8.055000000000003
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,9.557500000000005,8.365000000000006,0.0,3.18,-3.18,8.055000000000003,7.260000000000003
9,9,10:00,10:15,10:15,-0.0,0.0,0,-0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,8.365000000000006,7.172500000000005,0.0,3.18,-3.18,7.260000000000003,6.465000000000003
10,10,10:15,10:30,10:30,-0.0,8.0,0,-8.0,247.89473684210526,245.78947368421052,0.0,0.0,1.0,8.0,0.0,8.0,7.172500000000005,9.072500000000005,0.0,0.0,0.0,6.465000000000003,6.465000000000003
11,11,10:30,10:45,10:45,-0.0,0.0,0,-0.0,245.78947368421052,245.78947368421052,0.0,0.0,1.0,0.0,4.77,-4.77,9.072500000000005,7.880000000000005,0.0,3.18,-3.18,6.465000000000003,5.6700000000000035
12,12,10:45,11:00,11:00,-0.0,8.0,0,-8.0,245.78947368421052,243.68421052631578,0.0,0.0,1.0,8.0,0.0,8.0,7.880000000000005,9.780000000000005,0.0,4.72,-4.72,5.6700000000000035,4.490000000000004
13,13,11:00,11:15,11:15,-0.0,8.0,0,-8.0,243.68421052631578,241.57894736842104,0.0,0.0,1.0,8.0,0.0,8.0,9.780000000000005,11.680000000000005,0.0,4.77,-4.77,4.490000000000004,3.2975000000000034
14,14,11:15,11:30,11:30,-0.0,8.0,0,-8.0,241.57894736842104,239.4736842105263,0.0,0.0,1.0,8.0,0.0,8.0,11.680000000000005,13.580000000000005,0.0,0.0,0.0,3.2975000000000034,3.2975000000000034
15,15,11:30,11:45,11:45,-0.0,0.0,0,-0.0,239.4736842105263,239.4736842105263,1.0,1.0,0.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.2975000000000034,3.2975000000000034
16,16,11:45,12:00,12:00,2.923038753027783,0.0,0,2.923038753027783,239.4736842105263,240.1679059143704,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.2975000000000034,3.2975000000000034
17,17,12:00,12:15,12:15,2.923038753027783,0.0,0,2.923038753027783,240.1679059143704,240.8621276182145,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.2975000000000034,3.297500000000004
18,18,12:15,12:30,12:30,2.923038753027783,0.0,0,2.923038753027783,240.8621276182145,241.5563493220586,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.297500000000004,3.297500000000004
19,19,12:30,12:45,12:45,2.923038753027783,0.0,0,2.923038753027783,241.5563493220586,242.2505710259027,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.297500000000004,3.297500000000004
20,20,12:45,13:00,13:00,2.923038753027783,0.0,0,2.923038753027783,242.2505710259027,242.9447927297468,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.297500000000004,3.297500000000004
21,21,13:00,13:15,13:15,2.923038753027783,0.0,0,2.923038753027783,242.9447927297468,243.6390144335909,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.297500000000004,3.297500000000004
22,22,13:15,13:30,13:30,2.923038753027783,0.0,0,2.923038753027783,243.6390144335909,244.333236137435,0.0,0.0,1.0,0.0,0.0,0.0,13.580000000000005,13.580000000000005,0.0,0.0,0.0,3.297500000000004,3.297500000000004
