src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,4000.0,Inf,Inf,0,0,0,0,0.3
,0,0,0,0.0,4066.827549,Inf,Inf,0,0,9,486,0.3
R,0,0,0,0.0,4086.493166,4194.460856,2.57,1194,36,46,899,0.6
L,0,0,0,0.0,4091.492737,4120.010665,0.69,2364,58,46,1425,1.7
L,0,0,0,0.0,4091.492737,4115.893488,0.59,2364,58,46,1501,3.2
,0,0,0,0.0,4091.492737,4115.893488,0.59,38,0,0,4011,3.2
,0,0,0,0.0,4091.492737,4115.893488,0.59,38,36,4,4247,3.3
L,0,0,0,0.0,4091.563924,4112.392996,0.51,50,44,4,4368,5.2
L,0,0,0,0.0,4091.563924,4111.623559,0.49,50,38,4,7654,7.4
,29,2,10,11.13,4091.563924,4111.623559,0.49,165,38,1215,53934,12.9
B,31,2,12,11.72,4091.563924,4111.621747,0.49,211,38,1705,56704,13.6
,70,9,24,16.24,4092.7415,4111.621747,0.46,355,39,3796,92129,18.7
,243,43,85,19.92,4092.747979,4111.621747,0.46,1395,53,9004,114058,24.0
B,360,44,139,20.51,4092.747979,4110.21814,0.43,1910,61,8156,124725,28.1
T,435,47,165,30.04,4093.601288,4107.762949,0.34,1856,62,9411,132860,29.8
T,476,5,180,42.87,4093.601288,4102.392996,0.21,1904,57,9951,134268,30.3
,543,0,212,100.0,4102.048439,4102.392996,0.01,1549,65,7376,141891,32.7
