Metric,Value
Objective_Value,4102.39
Total_Energy_Cost_USD,13.08
Total_CO2_Cost_USD,0.5
NC demand charge_USD,58.81
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,4000.0
Total_Travel_Penalty_USD,30.0
Total_Grid_Energy_kWh,41.65
Total_CO2_Emissions_kg,10.0
NCD_Peak_kW,2.92
OPD_Peak_kW,0.0
Total_Missed_Work_hour,2.0
Total_MCS_Travel_hour,1.5
MIP_Gap_percent,0.01
Status,OPTIMAL
Solve_Time_s,32.69
