src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.3
,0,0,0,0.0,441.596654,Inf,Inf,0,0,4,971,0.3
C,0,0,0,0.0,449.1715554,7652.0,94.13,1709,83,193,1296,0.5
L,0,0,0,0.0,481.7425978,7296.161426,93.4,4948,139,193,4221,3.2
,0,0,0,0.0,481.7425978,7296.161426,93.4,71,0,0,9214,3.3
,0,0,0,0.0,481.7425978,7296.161426,93.4,71,58,2,9813,3.3
L,0,0,0,0.0,482.1716112,3599.268344,86.6,1117,113,2,10203,5.6
,13,0,1,0.02,482.1855925,3599.268344,86.6,1143,56,3003,87262,15.5
,19,1,6,0.59,482.1855925,3599.268344,86.6,1174,56,6606,125807,21.2
L,100,20,36,0.61,482.2323484,3140.268344,84.64,1556,87,7113,140612,26.1
L,302,38,113,1.21,482.2993391,2789.93501,82.71,2358,140,7860,165996,33.2
L,503,53,192,1.41,482.2993391,2776.93501,82.63,5570,150,8764,196914,37.9
L,604,51,236,1.46,482.2993391,2327.93501,79.28,5827,166,9810,216024,41.5
L,605,43,237,1.47,482.2993391,1807.176101,73.31,6189,225,9932,222143,43.4
,682,40,266,12.82,482.2993391,1807.176101,73.31,5598,135,3350,252321,48.4
,845,45,339,13.18,482.2993391,1807.176101,73.31,8905,233,4845,284574,54.1
,1118,53,459,22.66,482.2993391,1807.176101,73.31,9475,187,6211,318563,59.2
,1241,55,518,36.65,482.6985725,1807.176101,73.29,6998,268,7674,350422,64.3
,1316,52,557,39.86,482.6985725,1807.176101,73.29,6933,241,8516,373083,69.3
,1544,59,651,43.8,482.6985725,1807.176101,73.29,7228,185,9310,405164,74.4
T,1849,80,776,45.52,482.6985725,1615.509434,70.12,5686,180,9356,421815,78.0
B,2126,89,899,45.56,482.6985725,1602.509434,69.88,3952,108,9000,429725,79.8
T,2137,89,900,45.56,482.6985725,1602.509434,69.88,3954,108,9000,429930,79.8
T,2151,93,905,45.56,482.6985725,1602.509434,69.88,3958,108,9000,429980,79.9
,2623,166,1089,47.65,482.6985725,1602.509434,69.88,4778,157,9978,460820,84.9
,2977,203,1241,48.8,484.3483051,1602.509434,69.78,6498,159,9894,485965,89.9
,3266,226,1364,49.17,484.3483051,1602.509434,69.78,5542,231,8987,516673,95.3
,3563,252,1488,49.18,484.3483051,1602.509434,69.78,5296,220,8796,547742,100.4
,3832,274,1605,49.74,484.3483051,1602.509434,69.78,3754,224,9590,585659,105.5
,4137,292,1737,49.75,484.8556312,1602.509434,69.74,3900,193,9854,628263,110.6
,4354,298,1833,50.15,484.8556312,1602.509434,69.74,7219,188,9750,664918,115.6
,4574,307,1935,50.2,484.8556312,1602.509434,69.74,8071,271,9912,692766,121.3
,5084,381,2141,50.54,484.8556312,1602.509434,69.74,7428,226,9591,722722,126.7
,5529,0,0,0.0,484.8556312,1602.509434,69.74,157,0,0,740085,130.5
,5529,0,0,0.0,484.8556312,1602.509434,69.74,157,37,3,740333,130.5
T,5665,11,53,25.97,484.8556312,1598.509434,69.67,3591,164,510,762683,134.5
,6062,53,220,30.7,484.8556312,1598.509434,69.67,3451,53,2780,794025,139.5
,6728,100,521,42.68,484.8556312,1598.509434,69.67,6385,167,4752,820197,144.5
,7087,138,662,61.02,484.8556312,1598.509434,69.67,8319,184,6026,848783,149.6
,7367,183,784,62.08,484.8556312,1598.509434,69.67,7395,202,6945,881932,154.7
,7643,215,892,63.31,484.8556312,1598.509434,69.67,6298,173,7712,915223,159.7
,8175,339,1079,63.44,484.8556312,1598.509434,69.67,5303,144,8722,942010,164.8
,8704,450,1274,64.95,484.8556312,1598.509434,69.67,6215,175,9670,976742,170.3
,9396,538,1570,65.93,486.1628211,1598.509434,69.59,7003,110,9469,1002000,175.4
,9864,612,1755,66.11,489.9155726,1598.509434,69.35,6970,153,9834,1032000,180.4
T,9878,473,1757,66.19,489.9155726,1503.643606,67.42,6972,153,9846,1033000,181.6
,10445,576,1978,72.44,489.9155726,1503.643606,67.42,7401,230,9870,1071000,187.4
,10851,630,2135,77.15,496.1076692,1503.643606,67.01,6673,161,9631,1097000,192.4
,11633,752,2435,77.23,496.1076692,1503.643606,67.01,6653,157,9957,1121000,197.4
,12267,853,2680,77.23,505.2149772,1503.643606,66.4,8529,157,9968,1144000,202.4
,12449,0,0,0.0,505.2149772,1503.643606,66.4,141,0,0,1149000,203.7
,12449,0,0,0.0,505.2149772,1503.643606,66.4,141,20,5,1150000,203.7
,12685,24,89,44.26,505.2149772,1503.643606,66.4,5319,182,708,1186000,208.7
,13014,57,229,78.3,505.2149772,1503.643606,66.4,6519,226,1658,1219000,213.8
,13323,89,360,79.35,505.2149772,1503.643606,66.4,6575,194,2299,1257000,218.8
,13631,125,488,79.79,505.2149772,1503.643606,66.4,6598,156,3141,1294000,223.8
T,13971,189,611,79.79,505.2149772,1500.643606,66.33,5977,96,4014,1305000,226.2
T,14221,225,714,79.79,505.2149772,1498.643606,66.29,5551,73,5043,1310000,227.6
T,14279,237,734,79.79,505.2149772,1492.643606,66.15,5630,87,5434,1316000,228.2
T,14785,145,936,86.74,508.7602898,1348.976939,62.29,7049,117,7304,1338000,232.2
L,15198,220,1083,86.75,508.7602898,1330.976939,61.78,6831,182,8989,1353000,243.1
,15548,257,1227,86.75,511.7234009,1330.976939,61.55,6927,173,9444,1410000,248.1
,16008,339,1396,86.76,513.7836593,1330.976939,61.4,7262,188,9630,1433000,253.2
,16612,416,1643,86.76,513.7836593,1330.976939,61.4,4297,120,9490,1456000,258.2
,17067,449,1839,86.76,516.0147416,1330.976939,61.23,5137,172,9520,1483000,263.2
,17464,505,2001,86.76,516.0147416,1330.976939,61.23,5493,157,9652,1507000,268.3
,17778,541,2125,86.76,516.4807377,1330.976939,61.2,6554,269,9188,1530000,273.3
,18044,0,0,0.0,516.4807377,1330.976939,61.2,206,0,0,1547000,276.8
,18044,0,0,0.0,516.4807377,1330.976939,61.2,206,30,2,1547000,276.9
,18151,6,48,49.87,516.4807377,1330.976939,61.2,3122,150,259,1578000,282.1
,18374,16,151,89.85,516.4807377,1330.976939,61.2,4039,151,790,1610000,287.1
,18646,43,265,91.01,516.4807377,1330.976939,61.2,5054,179,1424,1641000,292.2
,19033,126,409,91.01,516.4807377,1330.976939,61.2,5499,164,2453,1671000,297.2
,19257,143,509,91.06,516.4807377,1330.976939,61.2,6964,173,3057,1701000,302.6
,19564,158,648,91.08,516.4807377,1330.976939,61.2,6182,170,3860,1731000,307.6
,19813,181,757,91.09,516.4807377,1330.976939,61.2,7495,171,4511,1757000,312.9
,20118,203,884,91.1,516.4807377,1330.976939,61.2,6626,142,5278,1782000,318.1
,20451,243,1026,91.1,516.4807377,1330.976939,61.2,5826,194,6150,1808000,323.1
,20940,333,1218,91.1,541.5989187,1330.976939,59.31,6363,195,7477,1832000,328.1
,21534,391,1472,91.88,672.0198518,1330.976939,49.51,6148,57,9266,1856000,333.1
,22008,397,1700,91.91,678.3553467,1330.976939,49.03,6022,60,9724,1881000,338.1
,22480,408,1931,95.03,777.0753884,1330.976939,41.62,7288,105,9943,1909000,343.2
,22966,451,2145,97.38,929.2266046,1330.976939,30.18,8252,200,9634,1940000,348.2
,23602,540,2393,97.38,929.2266046,1330.976939,30.18,7698,148,9883,1964000,353.2
,23982,549,2577,97.38,932.9238709,1330.976939,29.91,7914,56,9720,1991000,358.2
,24353,569,2745,97.38,937.3322225,1330.976939,29.58,6828,127,9690,2024000,363.2
,24858,590,2982,97.43,940.2552108,1330.976939,29.36,6407,58,9806,2058000,368.3
L,25032,562,3066,97.43,940.2552108,1327.976939,29.2,5777,103,9562,2070000,377.0
,25362,573,3213,97.43,940.2552108,1327.976939,29.2,6507,158,9843,2119000,382.0
,26005,658,3495,97.44,940.2552108,1327.976939,29.2,8081,237,9966,2145000,387.1
,26496,698,3713,97.44,940.2552108,1327.976939,29.2,9701,223,9973,2176000,392.2
,27214,762,4022,97.44,945.6657173,1327.976939,28.79,8915,104,9779,2200000,397.2
,27905,839,4308,97.44,947.2847522,1327.976939,28.67,5550,83,9976,2222000,402.3
,28572,896,4599,97.44,947.9257254,1327.976939,28.62,5467,42,9928,2255000,407.3
,29170,952,4844,97.44,952.4926748,1327.976939,28.27,6583,84,9968,2287000,412.3
,29626,1015,5030,97.44,954.7377008,1327.976939,28.11,7375,125,9448,2317000,417.4
,30170,1073,5267,97.44,961.9156107,1327.976939,27.57,6887,75,9596,2350000,422.4
,30673,1098,5489,97.45,963.1284027,1327.976939,27.47,5987,81,9658,2381000,427.5
,31042,1111,5667,97.45,964.5171903,1327.976939,27.37,5467,113,9710,2414000,432.5
L,31093,1110,5693,97.45,964.5171903,1327.976938,27.37,5411,120,9847,2422000,443.1
,31585,1146,5914,97.45,965.8234585,1327.976938,27.27,5326,111,9854,2497000,448.1
,32115,1147,6174,97.45,969.6607825,1327.976938,26.98,7322,112,9810,2523000,453.1
,32564,1168,6388,97.45,971.1960444,1327.976938,26.87,8613,129,9761,2558000,458.1
,32997,1196,6587,97.45,971.3191122,1327.976938,26.86,9632,118,9858,2599000,463.1
,33472,1218,6805,97.45,971.3191122,1327.976938,26.86,9907,95,9988,2640000,468.1
