src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.1
R,0,0,0,0.0,60.29514777,65.97570267,8.61,0,0,0,144,0.1
,0,0,0,0.0,60.29514777,65.97570267,8.61,0,0,0,144,0.1
,0,0,0,0.0,60.29514777,65.97570267,8.61,0,0,0,149,0.1
L,0,0,0,0.0,61.08671121,65.97570267,7.41,198,4,0,152,0.2
,0,0,0,0.0,61.08671121,65.97570267,7.41,2,0,0,167,0.2
,0,0,0,0.0,61.08671121,65.97570267,7.41,2,1,0,171,0.2
B,0,0,0,0.0,65.95875635,65.97570267,0.03,203,8,0,232,0.3
,1,0,1,100.0,65.97570267,65.97570267,0.0,203,8,1,241,0.3
