Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,08:00,08:15,0.0,0.0,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0,0.0,0.0
5,09:00,09:15,0.0,0.0,0.0,0.0,0.0
6,09:15,09:30,0.0,0.0,0.0,0.0,0.0
7,09:30,09:45,0.0,0.0,0.0,0.0,0.0
8,09:45,10:00,0.0,0.0,0.0,0.0,0.0
9,10:00,10:15,0.7759663130451181,0.20252720770477584,0.1293673779618019,0.20252720770477584,0.1293673779618019
10,10:15,10:30,0.7759663130451181,0.20252720770477584,0.1328481083251716,0.40505441540955167,0.2622154862869735
11,10:30,10:45,0.7759663130451181,0.20252720770477584,0.1317127097601261,0.6075816231143275,0.3939281960470996
12,10:45,11:00,0.7759663130451181,0.20252720770477584,0.12198640113547667,0.8101088308191033,0.5159145971825763
13,11:00,11:15,0.7759663130451181,0.20252720770477584,0.12114958509609518,1.0126360385238793,0.6370641822786715
14,11:15,11:30,0.7759663130451181,0.20252720770477584,0.12328163712151476,1.2151632462286552,0.7603458194001862
15,11:30,11:45,0.7759663130451181,0.20252720770477584,0.12046599679665175,1.4176904539334312,0.8808118161968379
16,11:45,12:00,0.7759663130451181,0.20252720770477584,0.1146781649432689,1.6202176616382071,0.9954899811401068
17,12:00,12:15,0.7759663130451181,0.20252720770477584,0.11084962940713348,1.822744869342983,1.1063396105472403
18,12:15,12:30,0.7759663130451181,0.20252720770477584,0.11651039600078889,2.025272077047759,1.2228500065480292
19,12:30,12:45,0.7759663130451181,0.20252720770477584,0.11031613394372346,2.227799284752535,1.3331661404917527
20,12:45,13:00,0.7759663130451181,0.20252720770477584,0.10420611777329902,2.430326492457311,1.4373722582650519
21,13:00,13:15,0.7759663130451181,0.20252720770477584,0.09818573812749232,2.632853700162087,1.5355579963925443
22,13:15,13:30,0.7759663130451181,0.20252720770477584,0.10630457433719533,2.835380907866863,1.6418625707297396
23,13:30,13:45,0.7759663130451181,0.20252720770477584,0.10120586497500055,3.0379081155716388,1.7430684357047401
24,13:45,14:00,0.7759663130451181,0.20252720770477584,0.0963978892392133,3.2404353232764147,1.8394663249439533
25,14:00,14:15,0.7759663130451181,0.3002989631484607,0.09359914635678318,3.5407342864248754,1.9330654713007365
26,14:15,14:30,0.7759663130451181,0.3002989631484607,0.09792218970489598,3.841033249573336,2.0309876610056325
27,14:30,14:45,0.7759663130451181,0.3002989631484607,0.09831106444671224,4.141332212721797,2.1292987254523448
28,14:45,15:00,0.7759663130451181,0.3002989631484607,0.09600981684656473,4.441631175870258,2.2253085422989094
29,15:00,15:15,0.7759663130451181,0.3002989631484607,0.09738218078025426,4.741930139018718,2.322690723079164
30,15:15,15:30,0.7759663130451181,0.3002989631484607,0.1027689878112912,5.042229102167179,2.425459710890455
31,15:30,15:45,0.7759663130451181,0.3002989631484607,0.09990200567532559,5.342528065315639,2.5253617165657807
32,15:45,16:00,0.7759663130451181,0.3002989631484607,0.09895710606416634,5.642827028464099,2.624318822629947
33,16:00,16:15,0.0,0.0,0.0,5.642827028464099,2.624318822629947
34,16:15,16:30,0.0,0.0,0.0,5.642827028464099,2.624318822629947
35,16:30,16:45,0.0,0.0,0.0,5.642827028464099,2.624318822629947
36,16:45,17:00,0.0,0.0,0.0,5.642827028464099,2.624318822629947
37,17:00,17:15,0.0,0.0,0.0,5.642827028464099,2.624318822629947
38,17:15,17:30,0.0,0.0,0.0,5.642827028464099,2.624318822629947
39,17:30,17:45,0.0,0.0,0.0,5.642827028464099,2.624318822629947
40,17:45,18:00,0.0,0.0,0.0,5.642827028464099,2.624318822629947
41,18:00,18:15,0.0,0.0,0.0,5.642827028464099,2.624318822629947
42,18:15,18:30,0.0,0.0,0.0,5.642827028464099,2.624318822629947
