Metric,Value
Objective_Value,109.55
Total_Energy_Cost_USD,16.51
Total_CO2_Cost_USD,0.6
NC demand charge_USD,62.45
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,0.0
Total_Travel_Penalty_USD,30.0
Total_Grid_Energy_kWh,52.77
Total_CO2_Emissions_kg,11.9
NCD_Peak_kW,3.1
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.0
Total_MCS_Travel_hour,1.5
MIP_Gap_percent,2.07
Status,TIME_LIMIT
Solve_Time_s,18000.81
