Metric,Value
Objective_Value,567.98
Total_Energy_Cost_USD,8.54
Total_CO2_Cost_USD,0.36
NC demand charge_USD,49.08
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,500.0
Total_Travel_Penalty_USD,10.0
Total_Grid_Energy_kWh,26.83
Total_CO2_Emissions_kg,7.29
NCD_Peak_kW,2.44
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.25
Total_MCS_Travel_hour,0.5
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,0.28
