run,n_points,t_first_incumbent_s,t_last_s,first_best_sol,final_best_sol,max_abs_best_sol,final_gap_pct
1 h limit,552,19.00,3600.00,1125.039,109.554,1125.039,11.88
5 h limit,2946,11.80,18000.00,1125.039,109.554,1125.039,2.07
