Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
32,15:45,14.8,14.8,2.96,14.8,14.8,2.96
33,16:00,14.8,14.8,2.96,14.8,14.8,2.96
34,16:15,14.8,14.8,2.96,14.8,14.8,2.96
35,16:30,14.8,14.8,2.96,14.8,14.8,2.96
36,16:45,14.8,14.8,2.96,14.8,14.8,2.96
37,17:00,14.8,14.8,2.96,14.8,14.8,2.96
38,17:15,14.8,14.8,2.96,14.8,14.8,2.96
39,17:30,14.8,14.8,2.96,14.8,14.8,2.96
40,17:45,14.800000007226428,14.8,2.96,14.8,14.8,2.96
41,18:00,14.8000000047254,14.8,2.96,14.8,14.8,2.96
42,18:15,14.8000000047254,14.8,2.96,14.8,14.8,2.96
43,18:30,14.800000009731964,14.8,2.96,14.8,14.8,2.96
44,18:45,14.800000016419563,14.8,2.96,14.8,14.8,2.96
45,19:00,14.8,14.8,2.96,14.8,14.8,2.96
46,19:15,14.8,14.8,2.96,14.8,14.8,2.96
47,19:30,14.8,14.8,2.96,14.8,14.8,2.96
48,19:45,14.8,14.8,2.96,14.8,14.8,2.96
49,20:00,14.8,14.8,2.96,14.8,14.8,2.96
50,20:15,14.8,14.8,2.96,14.8,14.8,2.96
51,20:30,14.8,14.8,2.96,14.8,14.8,2.96
52,20:45,14.8,14.8,2.96,14.8,14.8,2.96
53,21:00,14.8,14.8,2.96,14.8,14.8,2.96
54,21:15,14.8,14.8,2.96,14.8,14.8,2.96
55,21:30,14.8,14.8,2.96,14.8,14.8,2.96
56,21:45,14.8,14.8,2.96,14.8,14.8,2.96
57,22:00,14.8,14.8,2.96,14.8,14.8,2.96
58,22:15,14.8,14.8,2.96,14.8,14.8,2.96
59,22:30,14.8,14.8,2.96,14.8,14.8,2.96
60,22:45,14.8,14.8,2.96,14.8,14.8,2.96
61,23:00,14.8,14.8,2.96,14.8,14.8,2.96
62,23:15,14.8,14.8,2.96,14.8,14.8,2.96
63,23:30,14.8,14.8,2.96,14.8,14.8,2.96
64,23:45,14.8,14.8,2.96,14.8,14.8,2.96
65,00:00,14.8,14.8,2.96,14.8,14.8,2.96
66,00:15,14.8,14.8,2.96,14.8,14.8,2.96
67,00:30,14.8,14.8,2.96,14.8,14.8,2.96
68,00:45,14.8,14.8,2.96,14.8,14.8,2.96
69,01:00,14.8,14.8,2.96,14.8,14.8,2.96
70,01:15,14.8,14.8,2.96,14.8,14.8,2.96
71,01:30,14.8,14.8,2.96,14.8,14.8,2.96
72,01:45,14.8,14.8,2.96,14.8,14.8,2.96
73,02:00,14.8,14.8,2.96,14.8,14.8,2.96
74,02:15,14.8,14.8,2.96,14.8,14.8,2.96
75,02:30,14.8,14.8,2.96,14.8,14.8,2.96
76,02:45,14.8,14.8,2.96,14.8,14.8,2.96
77,03:00,14.8,14.8,2.96,14.8,14.8,2.96
78,03:15,14.8,14.8,2.96,14.8,14.8,2.96
