src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.4
,0,0,0,0.0,182.0153941,Inf,Inf,0,0,3,1451,0.5
L,0,0,0,0.0,189.8264324,1689.0,88.76,3973,99,470,5310,5.9
,0,0,0,0.0,189.830138,1689.0,88.76,42,0,0,7721,6.1
,0,0,0,0.0,189.830138,1689.0,88.76,42,31,4,8838,6.2
L,0,0,0,0.0,190.018488,733.0,74.08,2006,126,4,10446,11.1
,19,0,1,0.0,190.0187113,733.0,74.08,2018,45,33,89101,23.3
,70,29,16,0.2,192.2998766,733.0,73.77,2615,94,1045,133930,33.3
,168,50,51,0.49,197.1503012,733.0,73.1,2900,102,1896,150598,39.3
L,364,104,121,0.52,197.1503012,731.0,73.03,2998,142,2451,169142,45.4
,474,128,156,0.64,197.1503012,731.0,73.03,3026,54,2714,193468,51.5
L,565,144,189,0.77,197.1503012,731.0,73.03,2782,80,2915,199296,54.3
,759,176,255,1.38,197.1503012,731.0,73.03,2807,62,3300,217274,59.4
L,767,188,259,1.38,197.1503012,731.0,73.03,2895,76,3320,218188,62.1
,943,222,320,1.62,197.1503012,731.0,73.03,2851,60,3884,244666,67.3
,967,0,0,0.0,197.1503012,731.0,73.03,60,0,0,245714,67.8
,967,0,0,0.0,197.1503012,731.0,73.03,60,23,11,247285,67.9
,1082,9,43,3.96,197.1503012,731.0,73.03,1738,100,238,266744,73.1
,1212,25,97,4.26,197.1503012,731.0,73.03,3260,203,692,288051,78.1
,1377,65,144,5.12,197.1503012,731.0,73.03,3799,167,1201,305446,83.2
,1584,94,210,7.1,197.1503012,731.0,73.03,5160,270,1779,328312,88.8
,1890,134,320,11.34,197.1503012,731.0,73.03,5181,155,2398,355478,94.3
,2109,153,407,13.1,197.1503012,731.0,73.03,5396,151,3075,378784,99.3
,2291,173,483,13.8,197.1503012,731.0,73.03,5566,287,3647,397807,104.6
,2374,176,509,15.97,197.1503012,731.0,73.03,5843,224,4011,423505,109.6
,2446,191,530,16.24,197.1503012,731.0,73.03,5902,174,4757,440270,114.6
,2548,198,561,16.25,197.1503012,731.0,73.03,6688,176,5391,458345,119.7
,2649,221,594,16.25,197.1503012,731.0,73.03,6918,209,6803,467097,124.8
,2744,231,627,16.25,197.1503012,731.0,73.03,6378,135,8066,478527,129.8
,2887,246,677,16.25,197.1503012,731.0,73.03,6238,162,9252,487776,134.9
,3023,255,732,16.25,197.1503012,731.0,73.03,6288,123,9596,505205,139.9
,3190,264,789,16.28,197.1503012,731.0,73.03,5408,257,9555,530305,146.3
,3373,298,857,16.29,197.1503012,731.0,73.03,5726,226,9613,547259,151.3
,3500,306,910,16.29,197.1503012,731.0,73.03,5947,198,9871,561470,156.3
,3680,316,981,16.29,197.1503012,731.0,73.03,6577,136,9570,579515,161.6
,3800,317,1025,19.85,197.1503012,731.0,73.03,6580,228,9834,603145,166.6
,3911,331,1065,19.98,200.9066933,731.0,72.52,6623,214,8805,616713,171.6
,3994,336,1093,20.3,200.9066933,731.0,72.52,6413,153,9468,632269,176.7
,4029,353,1106,20.33,200.9066933,731.0,72.52,6765,203,8229,640055,181.8
,4096,363,1131,20.34,200.9066933,731.0,72.52,6787,203,8695,645947,187.0
,4184,374,1160,20.36,200.9066933,731.0,72.52,6775,153,9387,655787,192.8
,4227,378,1179,20.36,200.9066933,731.0,72.52,6984,141,9689,667353,199.8
,4286,384,1199,20.36,200.9066933,731.0,72.52,6989,141,8033,671783,205.1
,4321,385,1211,20.46,200.9066933,731.0,72.52,8389,262,8388,681976,212.5
,4374,386,1227,20.6,200.9066933,731.0,72.52,8394,262,8678,687460,218.0
,4407,387,1241,20.6,200.9066933,731.0,72.52,8415,262,9293,696770,227.4
,4417,407,1244,20.6,201.0210833,731.0,72.5,9282,290,9428,704701,233.5
,4423,403,1248,20.8,201.0210833,731.0,72.5,9734,153,9532,712785,238.9
,4488,406,1271,20.8,201.0210833,731.0,72.5,9250,177,9234,721456,244.1
,4553,417,1292,20.8,201.0210833,731.0,72.5,9272,178,9771,728902,249.4
,4600,419,1313,20.8,201.0210833,731.0,72.5,9308,178,9399,735460,254.6
,4628,428,1327,20.8,201.0210833,731.0,72.5,9717,156,9971,743584,260.0
,4642,426,1332,20.83,201.0210833,731.0,72.5,8037,224,9565,753760,265.1
,4734,437,1367,21.06,204.1704197,731.0,72.07,9315,261,9819,762649,271.7
,4742,432,1372,21.07,204.1704197,731.0,72.07,9004,171,9944,775296,278.8
L,4840,440,1402,21.07,204.1704197,586.1761006,65.17,8389,239,9870,782844,290.5
,4848,438,1405,21.46,204.1704197,586.1761006,65.17,8275,185,9992,799344,296.1
,4941,442,1441,21.47,204.1704197,586.1761006,65.17,8281,185,9881,806527,301.2
