Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,13.607500000000002,12.812500000000002
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.812500000000002,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.77,-4.77,11.620000000000001,10.427500000000002
5,5,09:00,09:15,09:15,0.0,8.0,0,-8.0,250.0,247.8947368421053,0.0,0.0,1.0,8.0,0.0,8.0,10.427500000000002,12.327500000000002
6,6,09:15,09:30,09:30,-0.0,0.0,0,-0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,0.0,4.72,-4.72,12.327500000000002,11.147500000000003
7,7,09:30,09:45,09:45,-0.0,0.0,0,-0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,0.0,3.18,-3.18,11.147500000000003,10.352500000000003
8,8,09:45,10:00,10:00,-0.0,0.0,0,-0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,0.0,4.77,-4.77,10.352500000000003,9.160000000000002
9,9,10:00,10:15,10:15,-0.0,0.0,0,-0.0,247.8947368421053,247.89473684210526,0.0,0.0,1.0,0.0,3.18,-3.18,9.160000000000002,8.365000000000002
10,10,10:15,10:30,10:30,-0.0,8.0,0,-8.0,247.89473684210526,245.78947368421052,0.0,0.0,1.0,8.0,0.0,8.0,8.365000000000002,10.265000000000002
11,11,10:30,10:45,10:45,-0.0,0.0,0,-0.0,245.78947368421052,245.78947368421052,0.0,0.0,1.0,0.0,4.77,-4.77,10.265000000000002,9.072500000000002
12,12,10:45,11:00,11:00,-0.0,0.0,0,-0.0,245.78947368421052,245.78947368421052,0.0,0.0,1.0,0.0,4.72,-4.72,9.072500000000002,7.892500000000003
13,13,11:00,11:15,11:15,-0.0,0.0,0,-0.0,245.78947368421052,245.78947368421052,0.0,0.0,1.0,0.0,3.18,-3.18,7.892500000000003,7.097500000000003
14,14,11:15,11:30,11:30,-0.0,8.0,0,-8.0,245.78947368421052,243.68421052631578,0.0,0.0,1.0,8.0,0.0,8.0,7.097500000000003,8.997500000000002
15,15,11:30,11:45,11:45,-0.0,7.0105263157894555,0,-7.0105263157894555,243.68421052631578,241.8393351800554,0.0,0.0,1.0,7.0105263157894555,0.0,7.0105263157894555,8.997500000000002,10.662499999999998
16,16,11:45,12:00,12:00,8.881784197001252e-16,8.0,0,-7.999999999999999,241.8393351800554,239.73407202216066,0.0,0.0,1.0,8.0,0.0,8.0,10.662499999999998,12.562499999999998
17,17,12:00,12:15,12:15,8.881784197001252e-16,0.0,0,8.881784197001252e-16,239.73407202216066,239.73407202216066,1.0,1.0,0.0,0.0,0.0,0.0,12.562499999999998,12.562499999999998
18,18,12:15,12:30,12:30,1.8191118436496891,0.0,0,1.8191118436496891,239.73407202216066,240.16611108502747,0.0,0.0,1.0,0.0,0.0,0.0,12.562499999999998,12.562499999999998
19,19,12:30,12:45,12:45,1.8191118436496891,0.0,0,1.8191118436496891,240.16611108502747,240.59815014789427,0.0,0.0,1.0,-0.0,0.0,-0.0,12.562499999999998,12.562499999999998
