Metric,Value
Objective_Value,565.52
Total_Energy_Cost_USD,8.61
Total_CO2_Cost_USD,0.32
NC demand charge_USD,36.6
OP demand charge_USD,0.0
Total_Missed_Work_Penalty_USD,500.0
Total_Travel_Penalty_USD,20.0
Total_Grid_Energy_kWh,26.83
Total_CO2_Emissions_kg,6.33
NCD_Peak_kW,1.82
OPD_Peak_kW,0.0
Total_Missed_Work_hour,0.25
Total_MCS_Travel_hour,1.0
MIP_Gap_percent,0.0
Status,OPTIMAL
Solve_Time_s,6.37
