var,e,i,a,k,value
u,1,2,1,1,1
u,1,2,1,3,1
u,1,2,1,4,1
u,1,2,1,8,1
u,1,2,1,11,1
u,1,2,1,25,1
u,1,2,1,26,1
u,1,2,1,27,1
u,1,2,1,30,1
u,1,2,1,31,1
u,1,2,1,33,1
u,1,2,1,36,1
u,1,2,2,2,1
u,1,2,2,7,1
u,1,2,2,9,1
u,1,2,2,13,1
u,1,2,2,32,1
u,1,2,3,6,1
u,1,2,3,12,1
u,1,2,3,28,1
u,1,2,3,35,1
mu,1,2,0,5,1
mu,1,2,0,10,1
mu,1,2,0,14,1
mu,1,2,0,15,1
mu,1,2,0,16,1
mu,1,2,0,34,1
mu,1,2,0,37,1
mu,1,2,0,38,1
mu,1,2,0,39,1
mu,1,2,0,40,1
mu,1,2,0,41,1
mu,1,2,0,42,1
mu,1,2,0,43,1
