src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,500.0,Inf,Inf,0,0,0,0,0.1
R,0,0,0,0.0,544.6879324,585.5583007,6.98,0,0,0,290,0.1
L,0,0,0,0.0,557.6473742,567.9823687,1.82,848,53,11,693,1.3
L,0,0,0,0.0,557.6473742,566.1851308,1.51,848,53,11,1067,1.9
,0,0,0,0.0,557.6473742,566.1851308,1.51,23,0,0,2246,2.0
,0,0,0,0.0,557.6473742,566.1851308,1.51,23,23,0,2375,2.0
L,0,0,0,0.0,557.6473742,565.5244432,1.39,23,23,0,3466,4.4
,9,0,5,100.0,565.5244432,565.5244432,0.0,67,23,423,9251,6.4
