Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,08:00,08:15,0.0,0.0,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0,0.0,0.0
5,09:00,09:15,0.0,0.0,0.0,0.0,0.0
6,09:15,09:30,0.0,0.0,0.0,0.0,0.0
7,09:30,09:45,0.0,0.0,0.0,0.0,0.0
8,09:45,10:00,0.0,0.0,0.0,0.0,0.0
9,10:00,10:15,0.7759663130451188,0.202527207704776,0.129367377961802,0.202527207704776,0.129367377961802
10,10:15,10:30,0.7759663130451188,0.202527207704776,0.13284810832517172,0.405054415409552,0.2622154862869737
11,10:30,10:45,0.7759663130451188,0.202527207704776,0.13171270976012622,0.6075816231143281,0.39392819604709994
12,10:45,11:00,0.7759663130451188,0.202527207704776,0.12198640113547678,0.810108830819104,0.5159145971825767
13,11:00,11:15,0.7759663130451188,0.202527207704776,0.12114958509609529,1.01263603852388,0.637064182278672
14,11:15,11:30,0.7759663130451188,0.202527207704776,0.12328163712151485,1.215163246228656,0.7603458194001869
15,11:30,11:45,0.7759663130451188,0.202527207704776,0.12046599679665186,1.4176904539334318,0.8808118161968387
16,11:45,12:00,0.7759663130451188,0.202527207704776,0.114678164943269,1.6202176616382078,0.9954899811401077
17,12:00,12:15,0.7759663130451188,0.202527207704776,0.11084962940713358,1.8227448693429837,1.1063396105472412
18,12:15,12:30,0.7759663130451178,0.20252720770477575,0.11651039600078884,2.0252720770477595,1.22285000654803
19,12:30,12:45,0.7759663130451188,0.202527207704776,0.11031613394372355,2.2277992847525354,1.3331661404917536
20,12:45,13:00,0.7759663130451188,0.202527207704776,0.10420611777329912,2.4303264924573114,1.4373722582650528
21,13:00,13:15,0.7759663130451188,0.202527207704776,0.0981857381274924,2.6328537001620873,1.5355579963925452
22,13:15,13:30,0.7759663130451188,0.202527207704776,0.10630457433719542,2.8353809078668633,1.6418625707297405
23,13:30,13:45,0.7759663130451188,0.202527207704776,0.10120586497500063,3.037908115571639,1.7430684357047412
24,13:45,14:00,0.7759663130451188,0.202527207704776,0.09639788923921339,3.240435323276415,1.8394663249439547
25,14:00,14:15,0.7759663130451188,0.300298963148461,0.09359914635678326,3.5407342864248763,1.933065471300738
26,14:15,14:30,0.7759663130451188,0.300298963148461,0.09792218970489608,3.8410332495733375,2.030987661005634
27,14:30,14:45,0.7759663130451188,0.300298963148461,0.09831106444671232,4.141332212721799,2.129298725452346
28,14:45,15:00,0.7759663130451188,0.300298963148461,0.09600981684656482,4.44163117587026,2.2253085422989107
29,15:00,15:15,0.7759663130451188,0.300298963148461,0.09738218078025435,4.741930139018721,2.322690723079165
30,15:15,15:30,0.7759663130451188,0.300298963148461,0.10276898781129128,5.042229102167182,2.4254597108904563
31,15:30,15:45,0.7759663130451188,0.300298963148461,0.09990200567532567,5.342528065315643,2.525361716565782
32,15:45,16:00,0.7759663130451188,0.300298963148461,0.09895710606416643,5.642827028464104,2.6243188226299483
33,16:00,16:15,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
34,16:15,16:30,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
35,16:30,16:45,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
36,16:45,17:00,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
37,17:00,17:15,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
38,17:15,17:30,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
39,17:30,17:45,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
40,17:45,18:00,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
41,18:00,18:15,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
42,18:15,18:30,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
43,18:30,18:45,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
