src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,1.2
,0,0,0,0.0,74.36254961,Inf,Inf,0,0,3,3269,1.9
,0,0,0,0.0,83.88155639,Inf,Inf,1954,45,73,5843,7.3
L,0,0,0,0.0,84.1811635,1125.038697,92.52,3954,86,97,9627,19.0
,0,0,0,0.0,84.32597648,1125.038697,92.5,21,0,0,19205,20.3
,0,0,0,0.0,84.32597648,1125.038697,92.5,21,12,3,21954,21.2
,0,0,0,0.0,85.0046283,1125.038697,92.44,318,42,3,26584,26.7
,0,0,0,0.0,85.00463808,1125.038697,92.44,573,69,3,28062,31.9
L,0,0,0,0.0,85.00463808,136.9981114,37.95,573,69,3,28421,40.6
,19,0,1,0.0,85.00472293,136.9981114,37.95,614,21,4,159090,82.8
,135,85,9,0.0,85.00472293,136.9981114,37.95,2070,77,191,169968,91.1
L,206,127,30,0.0,85.08723378,134.0240104,36.51,2557,190,375,172381,106.8
T,257,130,35,0.0,85.08723378,133.4450268,36.24,2565,190,543,200483,112.4
T,291,131,46,0.0,85.08723378,132.1696186,35.62,2577,190,940,208379,116.2
L,306,167,49,0.0,85.08723378,128.4461948,33.76,3043,220,1004,209884,136.1
,368,170,62,0.0,85.08723378,128.4461948,33.76,3057,220,1485,236284,141.4
L,407,175,78,0.0,85.08723378,123.5413627,31.13,4641,220,2219,240319,164.2
L,418,104,83,0.01,85.08723378,114.7407319,25.84,4856,244,2378,258442,183.3
,434,107,89,0.66,85.08723378,114.7407319,25.84,4878,244,2601,290428,189.4
,477,108,100,0.75,85.08723378,114.7407319,25.84,4893,244,2874,296934,194.8
,523,119,120,0.86,85.08723378,114.7407319,25.84,4927,183,3412,315946,213.9
,559,120,138,1.47,85.08723378,114.7407319,25.84,5230,236,3995,321339,219.0
,571,116,142,1.57,85.08723378,114.7407319,25.84,6291,251,4099,343855,232.1
,623,117,166,1.82,85.08723378,114.7407319,25.84,6316,251,4376,350590,237.2
,664,121,189,2.64,86.74069724,114.7407319,24.4,6504,179,4562,355818,242.7
,688,112,198,2.64,86.74069724,114.7407319,24.4,7430,235,4795,375891,256.3
T,724,106,205,2.67,86.74069724,113.6422019,23.67,7448,235,4975,378056,259.1
T,746,98,207,2.69,86.74069724,111.5359697,22.23,7451,235,4979,378328,259.8
,765,111,209,2.72,86.80697234,111.5359697,22.17,7336,87,5069,386144,264.9
,813,113,221,3.36,86.80697234,111.5359697,22.17,7358,87,5297,393816,270.1
,832,115,229,3.46,86.80697234,111.5359697,22.17,7374,87,5574,407292,277.5
,862,123,241,3.5,86.80697234,111.5359697,22.17,7215,116,5910,415408,283.4
,923,135,266,3.53,86.80697234,111.5359697,22.17,7185,203,6122,421627,288.5
,947,130,277,3.69,86.80697234,111.5359697,22.17,7360,185,6454,434969,294.7
,982,130,296,4.21,86.80697234,111.5359697,22.17,7388,185,6882,443988,299.9
,1023,130,316,5.09,86.80697234,111.5359697,22.17,7417,185,7351,451120,305.0
,1040,137,321,5.32,87.00966914,111.5359697,21.99,7620,254,7645,461514,310.9
,1077,140,338,5.37,87.00966914,111.5359697,21.99,7646,254,8161,467494,316.0
,1104,142,344,5.38,87.00966914,111.5359697,21.99,7659,254,8292,476704,323.2
,1127,144,355,5.38,87.00966914,111.5359697,21.99,7684,254,8754,487427,329.2
,1164,154,369,5.42,87.00966914,111.5359697,21.99,7868,273,9155,493984,334.2
,1239,172,395,5.44,87.00966914,111.5359697,21.99,7768,75,9576,499439,340.7
,1280,178,411,5.48,87.00966914,111.5359697,21.99,7733,80,9966,506240,345.7
,1357,193,438,5.48,87.00966914,111.5359697,21.99,7766,92,8178,513295,350.9
,1422,195,467,5.5,87.00966914,111.5359697,21.99,7801,92,8763,519101,355.9
,1472,206,486,5.58,87.00966914,111.5359697,21.99,7769,98,9197,527479,361.3
,1486,205,492,5.63,87.00966914,111.5359697,21.99,7763,100,9290,537902,366.6
,1529,209,504,5.63,87.00966914,111.5359697,21.99,7925,131,9565,545043,371.6
,1594,223,535,5.65,87.00966914,111.5359697,21.99,7688,162,8848,557918,378.9
,1615,228,537,5.65,87.00966914,111.5359697,21.99,8408,103,9060,575418,385.2
,1692,237,568,5.92,87.00966914,111.5359697,21.99,8447,103,9530,582123,390.4
,1785,250,607,5.92,89.82059273,111.5359697,19.47,8514,113,9551,591574,395.5
,1850,259,633,5.93,89.82059273,111.5359697,19.47,8750,103,9887,605919,401.9
,1867,264,637,6.04,89.82059273,111.5359697,19.47,9347,115,9954,625638,409.7
,1972,297,671,6.06,89.82059273,111.5359697,19.47,9457,125,9748,637231,414.8
