var,e,i,a,k,value
u,1,2,1,1,1
u,1,2,1,2,1
u,1,2,1,4,1
u,1,2,1,5,1
u,1,2,1,9,1
u,1,2,2,11,1
u,1,2,2,13,1
u,1,2,2,14,1
u,1,2,2,35,1
u,1,2,2,36,1
u,1,2,3,8,1
u,1,2,3,15,1
u,2,2,1,1,1
u,2,2,1,2,1
u,2,2,1,3,1
u,2,2,1,4,1
u,2,2,1,9,1
u,2,2,1,10,1
u,2,2,1,13,1
u,2,2,2,11,1
u,2,2,3,8,1
u,3,3,1,1,1
u,3,3,1,2,1
u,3,3,1,3,1
u,3,3,1,4,1
u,3,3,1,8,1
u,3,3,1,9,1
u,3,3,1,10,1
u,3,3,2,14,1
u,3,3,3,7,1
u,4,3,1,1,1
u,4,3,1,2,1
u,4,3,1,3,1
u,4,3,1,4,1
u,4,3,1,7,1
u,4,3,2,8,1
u,4,3,2,10,1
u,4,3,2,11,1
u,4,3,2,13,1
u,4,3,2,16,1
u,4,3,3,6,1
u,4,3,3,12,1
mu,1,2,0,3,1
mu,1,2,0,6,1
mu,1,2,0,7,1
mu,1,2,0,40,1
mu,1,2,0,41,1
mu,1,2,0,44,1
mu,1,2,0,47,1
mu,1,2,0,50,1
mu,2,2,0,5,1
mu,2,2,0,6,1
mu,2,2,0,7,1
mu,2,2,0,40,1
mu,2,2,0,41,1
mu,2,2,0,45,1
mu,2,2,0,46,1
mu,2,2,0,47,1
mu,2,2,0,48,1
mu,2,2,0,50,1
mu,3,3,0,6,1
mu,3,3,0,11,1
mu,3,3,0,12,1
mu,3,3,0,15,1
mu,3,3,0,16,1
mu,3,3,0,17,1
mu,3,3,0,18,1
mu,3,3,0,20,1
mu,3,3,0,21,1
mu,4,3,0,9,1
mu,4,3,0,14,1
mu,4,3,0,15,1
mu,4,3,0,17,1
mu,4,3,0,18,1
mu,4,3,0,19,1
mu,4,3,0,20,1
mu,4,3,0,21,1
