Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
79,03:30,236.73097604692836,250.0,50.0,250.0,250.0,50.0
80,03:45,237.46814404432124,250.0,50.0,250.0,250.0,50.0
81,04:00,238.2053120417141,250.0,50.0,250.0,250.0,50.0
82,04:15,238.94248003910698,250.0,50.0,250.0,250.0,50.0
83,04:30,239.67964803649986,250.0,50.0,250.0,250.0,50.0
84,04:45,240.41681603389273,250.0,50.0,250.0,250.0,50.0
85,05:00,241.1539840312856,250.0,50.0,250.0,250.0,50.0
86,05:15,241.89115202867848,250.0,50.0,250.0,250.0,50.0
87,05:30,242.62832002607135,250.0,50.0,250.0,250.0,50.0
88,05:45,243.36548802346422,250.0,50.0,250.0,250.0,50.0
89,06:00,244.1026560208571,250.0,50.0,250.0,250.0,50.0
90,06:15,244.83982401824997,250.0,50.0,250.0,250.0,50.0
91,06:30,245.57699201564282,250.0,50.0,250.0,250.0,50.0
92,06:45,246.3141600130357,250.0,50.0,250.0,250.0,50.0
93,07:00,247.05132801042856,250.0,50.0,250.0,250.0,50.0
94,07:15,247.78849600782144,250.0,50.0,250.0,250.0,50.0
95,07:30,248.52566400521428,250.0,50.0,250.0,250.0,50.0
96,07:45,249.26283200260715,250.0,50.0,250.0,250.0,50.0
97,08:00,250.0,250.0,50.0,250.0,250.0,50.0
